open,high,low,close,volume
25528.9,25528.9,25475.7,25520,202725
25515,25545,25512.7,25525,170250
25524.9,25535,25508.2,25511.3,80625
25511.3,25567.6,25509.2,25565,138750
25562,25574.8,25554,25566,102525
25566,25567.8,25531.9,25540,56100
25541.3,25542.9,25528.3,25535.1,39825
25535.2,25552.5,25521.2,25552.5,55650
25552.5,25560.9,25540,25546,34650
25545,25555,25540.9,25545.2,24750
25546,25546,25511,25515,93750
25515,25530.3,25510.5,25523,65775
25523,25531.8,25509.3,25515.4,103800
25515.4,25527,25511.9,25521.9,21825
25519,25527.4,25512,25521,16575
25517.3,25542,25515.7,25530.7,28350
25532,25538.8,25520,25528.8,15000
25529,25540.7,25527.8,25537,11700
25535.3,25550,25535.1,25535.1,32625
25535.1,25556.3,25535.1,25555.3,71625
25550.5,25563.2,25541.3,25560,52350
25561,25570,25558,25560,85425
25560,25565,25556.8,25561.9,23100
25562.5,25564.9,25540.6,25546.9,66525
25549.9,25550,25540.4,25544.6,12600
25544.4,25550,25540,25545,11100
25544.9,25545,25534,25540,21300
25544.8,25544.8,25531.7,25540,16275
25540,25541.3,25530.6,25532,12975
25532,25546,25532,25536.2,8850
25535.1,25541.8,25522.2,25528.6,35475
25526.1,25532,25522.2,25523.7,34575
25523.7,25531,25522.9,25527,11850
25528.6,25531.2,25512,25521,30150
25519,25526,25515.7,25525,18525
25525,25525,25511,25513,24525
25513,25513.1,25501,25512.8,57825
25510.8,25528.3,25509.6,25523.9,24225
25527.7,25538,25526,25536,14325
25536.5,25537.9,25529.2,25532.1,12600
25530.7,25532.5,25525,25530,8775
25530,25534,25523.6,25532,29100
25532,25532.4,25520.8,25525,17700
25524.8,25532.4,25522.2,25530.5,12675
25530.5,25531.6,25505.2,25509.5,88650
25509.2,25519.1,25500,25514.9,56250
25515,25528,25510,25527.6,25125
25526.8,25539.7,25525,25531.3,75000
25536.4,25545,25529.9,25544,22875
25539.1,25545,25535,25537,15450
25542,25546.6,25530.5,25534.9,19350
25534,25543.8,25534,25543,12825
25543,25543.5,25534,25534,7650
25534,25540.1,25528.3,25535,13650
25535,25545,25535,25544.9,12675
25544.9,25544.9,25520.4,25529.2,56325
25529,25539.7,25528.9,25534,36000
25534.7,25555,25530.1,25550.4,71025
25550.9,25555,25540,25540.1,34500
25541,25547.6,25533.1,25536.5,7875
25536.5,25541.1,25534.1,25541,6900
25543,25551,25537.5,25547.7,19350
25547.7,25547.7,25535.4,25542.7,20700
25538.1,25543.1,25512.4,25529,37650
25525,25534.5,25524.9,25524.9,12675
25524.5,25525,25515,25520,19950
25520,25525,25511.5,25520,25875
25518.2,25523,25516.2,25519.3,27375
25519.3,25535,25519.3,25535,28800
25533,25543.2,25532.8,25538,62625
25538,25543,25530,25541.8,31725
25544,25544,25532,25535,45675
25535,25540,25533.5,25535.7,37425
25535.7,25542,25534.1,25540.4,99450
25542,25545.4,25536,25541.1,86400
25530,25530,25499.4,25529,116775
25529,25564.3,25522.4,25557,113925
25557.5,25568,25551.2,25557.1,84450
25557.9,25577.6,25541.5,25542.2,96300
25541.9,25555,25536.5,25550.3,41850
25550.9,25567.5,25550,25550,62325
25551,25567.5,25546.1,25555,28350
25555,25564,25545.9,25547.4,26400
25547,25556.9,25538.2,25539.3,22275
25540,25543,25523.3,25534.9,57075
25535.9,25543,25530.1,25531,20775
25532,25539.3,25527,25532,18450
25532,25549.4,25526.5,25546.9,29925
25549.3,25549.3,25528,25531.2,24750
25531.2,25535,25527.8,25532,11325
25533.5,25535,25520,25532.5,25275
25535,25540,25532.4,25538,12750
25536,25543,25535.2,25538.9,14775
25535.9,25539.1,25521,25524.7,87000
25524.7,25531,25523.6,25530,18075
25527.1,25541,25527,25536.1,11250
25541,25542.6,25527,25528.9,19125
25527.1,25532.9,25521.2,25522.8,24525
25522.7,25532.8,25521,25525.4,19575
25525,25532,25524.3,25530,16200
25530,25535.6,25523.3,25524.2,18525
25525,25536.5,25525,25536.5,27600
25534.7,25541.2,25530.2,25537.7,54900
25537.7,25537.8,25525.3,25529,15975
25529,25531,25523.4,25525,9825
25525,25532.7,25525,25531.8,22500
25531.8,25534.6,25525.3,25532.3,8925
25532.4,25536.2,25528,25536.2,8175
25535.5,25536,25530.6,25535,6450
25536,25543.6,25535,25541.5,20250
25543,25544.7,25540,25540,10425
25540,25545.6,25540,25544.6,14475
25544.6,25550,25540,25548.5,22350
25547.9,25559.2,25547.8,25553.8,54000
25554.8,25567.5,25554.8,25564.7,63750
25561.7,25567.8,25558.1,25562.8,31425
25562.1,25562.1,25540.1,25558,82200
25557.9,25563.6,25549.7,25560.1,51825
25560.1,25568.9,25552.7,25564.9,20400
25564.9,25567.5,25560,25564.4,15225
25564.7,25565.1,25555.5,25563.2,18075
25563.1,25572.8,25558.3,25566.2,82200
25566.2,25567,25560.1,25561,7500
25561,25569.3,25561,25568.4,16425
25568.4,25570,25556.5,25562,16125
25562,25568,25553.5,25568,18675
25568,25568,25549,25557,14850
25557,25560.1,25551,25552.8,10650
25552.8,25563.6,25552.1,25562.2,6375
25562.6,25567.5,25560.1,25561.5,44100
25561.5,25569,25558.7,25563.3,14775
25563.1,25569.9,25560,25562.6,14775
25563.8,25565,25558.9,25562.7,6600
25557.5,25563,25554.1,25561,8250
25561,25561.6,25550,25555.6,11025
25555.6,25556.1,25550,25551,7575
25550.9,25554.4,25545.7,25550.4,13050
25550.4,25556.1,25550.1,25552.6,6150
25551.8,25559,25549.5,25559,11625
25559,25559.2,25550,25555,12300
25555,25558.9,25550,25552,20175
25550.1,25554,25548.1,25551.2,11550
25551.2,25559,25547.8,25559,16875
25559,25575,25555.2,25575,47550
25570.8,25599,25569.5,25599,239550
25599,25627.4,25597,25620,225075
25620,25631.5,25607.6,25626.7,149025
25629.9,25635,25615.3,25617.7,148875
25616,25623.8,25613.1,25620,113325
25617.3,25625.9,25616.1,25620,141825
25592.9,25615,25575,25580,137475
25582,25591.9,25565.6,25576,148500
25576,25582.9,25563.1,25570,69300
25574.4,25582.7,25561.6,25575.3,82350
25574.3,25587.4,25574.3,25581,40275
25580,25584,25570,25570,29250
25570,25580,25567.3,25577.9,25800
25577.8,25589.9,25572.5,25580.1,36450
25580.1,25610,25580,25607.6,80400
25607.6,25610,25595,25595,56700
25597.9,25608,25595,25607,29850
25605,25625,25605,25624.4,69600
25624.5,25631,25612.4,25625,71100
25625,25629,25620,25626.2,24525
25626.2,25633.2,25613,25617.3,39450
25613,25623.7,25609,25615.8,21750
25615.8,25623.3,25615.8,25620,11775
25620,25625,25616.9,25625,18900
25622,25628.8,25612,25625,28500
25628,25628,25616.6,25616.6,9600
25620.3,25623.7,25613,25615,11325
25616,25621.5,25610,25619.3,17550
25619.2,25625,25612.4,25615,12525
25615,25628.9,25614.2,25628.9,13950
25627,25646,25627,25633,63675
25630.3,25635,25626.4,25634.2,20250
25634,25642,25630.8,25637.8,20325
25640.8,25642.6,25634.1,25635.3,21300
25635.3,25638.8,25630.2,25630.2,12300
25630.2,25633.9,25625.3,25628,21975
