open,high,low,close,volume
25765,25792.4,25721,25741,281250
25736,25765.5,25728.4,25760.2,149325
25762.2,25775,25749.5,25749.5,121125
25750,25750,25710.6,25720,150075
25718.4,25730,25702.6,25715,118575
25715,25725,25700.2,25716,76950
25715.5,25716.2,25693.8,25700,98400
25703.9,25710,25692.5,25693,80025
25693.3,25713.9,25690,25691.3,92550
25691,25711.9,25681,25711.8,130125
25711.8,25723.1,25697.3,25705.8,89250
25702.6,25725,25700,25711.1,57225
25711.4,25724,25704.3,25723.9,45900
25721.8,25722.5,25693.3,25695,59250
25695.2,25701.5,25687,25690.1,59925
25690.7,25700.9,25685,25699.5,37575
25699,25710,25696.6,25696.6,22875
25696.6,25701.7,25685,25685,42750
25685,25694,25680.2,25680.2,57675
25682.1,25693.9,25671.7,25693.9,112275
25693.8,25698,25686.5,25687.8,43050
25687.8,25696.4,25681,25683,31125
25682.2,25690.4,25680,25681.2,30450
25684.8,25697,25674.1,25676.5,34350
25675,25684.5,25670,25671.9,50625
25671.9,25689.8,25666.4,25689.8,49800
25689.8,25692,25679,25682.6,30225
25682.4,25694,25680.6,25685.9,31125
25685.9,25695,25684,25690.9,37125
25687.9,25697.9,25685,25694.1,35850
25692,25699,25688.1,25693,21075
25695.1,25700,25690,25697,35925
25697,25697.5,25681.6,25681.6,30600
25681.6,25695,25680,25688.1,35400
25687,25689.9,25680,25682.7,32850
25683,25700.9,25682,25696.6,53850
25694,25708.7,25692.6,25704.2,88425
25702.1,25706,25696.6,25702.6,47475
25698.2,25703.6,25683.8,25684.4,49275
25684.5,25689,25670.3,25674.2,64200
25673.5,25678.9,25660.3,25664.8,96675
25664.8,25669.9,25654,25654.4,108075
25654.4,25675,25650.4,25666.3,123075
25665.2,25670,25654,25654.9,37650
25654.9,25655,25632.9,25632.9,143550
25633,25635,25605,25623.9,337425
25623.8,25630.6,25610.1,25615,123675
25615.1,25628,25610,25610,82425
25609.3,25620,25590,25609.4,219900
25609.3,25618.3,25601.6,25610.4,50400
25610,25625,25608.2,25608.3,64050
25609.4,25620,25607.2,25610.6,44625
25610.6,25615.1,25600.1,25602,47100
25602,25614,25600,25603.1,36600
25603.1,25604.6,25583,25587.9,74325
25585.1,25595.5,25575,25589.2,169050
25585.4,25604.6,25580.6,25604,72300
25603.6,25604.2,25577.6,25583.2,69450
25582.9,25597.2,25576.2,25596.7,62100
25597,25602,25588.7,25595,80550
25595.2,25596,25586,25594,121875
